id,name,address,distance,phone,phone_e164,email,is_mobile,status
c20,The Bank,"75-77, Market Street, Bolton, BL5 3AA",4.5 mi,+44 194 2819519,+44 194 2819519,,False,new
c21,Desert Magic Box,,4.5 mi,+44 7574 174406,+447574174406,,True,new
c22,One One,"270, Firs Lane, Leigh, WN7 4TT",4.9 mi,+441942 670974,+441942 670974,,False,new
c23,The Sir Charles Napier,"69, High Street, Warrington, WA3 3AH",5.0 mi,+441942 274921,+441942 274921,,False,new
c24,Firs Lane Chippy,"Firs Lane, Leigh",5.1 mi,+44 7738 473390,+447738473390,,True,new
c25,Amore,"338, Manchester Road, Bolton, BL5 3JT",5.1 mi,+44 1942 790922,+44 1942 790922,,False,new
c26,The Saddle,"55, Lee Lane, Bolton, BL6 7AX",5.2 mi,+44 1204 692355,+44 1204 692355,,False,new
c27,The New Cod on the Block,"240, Egerton, Skelmersdale, WN8 6AF",5.2 mi,+44 1695 340059,+44 1695 340059,,False,new
c28,Q's Pizza,"241, Church Lane, Warrington, WA3 2RZ",5.3 mi,+44 1942 728822,+44 1942 728822,,False,new
c29,Rams Head,"248, Slag Lane, Warrington, WA3 2ED",5.3 mi,+44 7459 912911,+447459912911,,True,new
c30,Mumbai Kitchen,"109, Railway Road, Leigh",5.5 mi,+441942 802563,+441942 802563,,False,new
c31,The First and the Last,"12C, Leigh Road, Leigh, WN7 1QR",5.6 mi,+447401 955604,+447401955604,,True,new
c32,The White Lion,"6A, Market Place, Leigh, WN7 1QL",5.7 mi,+441942 603987,+441942 603987,,False,new
c33,Leopards Den,"42-44, St Helens Road, Leigh, WN7 4JR",5.8 mi,+44 1942 744504,+44 1942 744504,,False,new
c34,Wok Inn,"90, St Helens Road, Leigh, WN7 4HW",5.9 mi,+44 1942 603388,+44 1942 603388,,False,new
c35,Cafe Seven,"7, Lyndale, Skelmersdale, WN8 6UJ",5.9 mi,+44 1695 550372,+44 1695 550372,,False,new
c36,Caffeina Cafe,Leigh,6.0 mi,+447904 322016,+447904322016,,True,new
c37,Fishician,"75, High Street, Newton-le-Willows, WA12 9SL",6.1 mi,+44 1925 226232,+44 1925 226232,,False,new
c38,Monty's Sports Bar,"276, Chapel Street, Leigh",6.5 mi,+44 1942 679101,+44 1942 679101,,False,new
c39,House of Steak,"294, Moor Road, Chorley, PR7 2NG",6.6 mi,+44 1257 369 833,+44 1257 369 833,,False,new
c40,Canal Turn,"298, Chapel Street, Leigh, WN7 2AP",6.6 mi,+44 1942 670009,+44 1942 670009,,False,new
c41,The Windle,"223, Hard Lane, St Helens, WA10 6NY",7.0 mi,+44 1744 24336,+44 1744 24336,,False,new
c42,Wu's Village,"307, Derbyshire Hill Road, St. Helens",7.1 mi,+44 1744731437,+44 1744731437,,False,new
c43,The Hunger Box,"530a, Fleet Lane, St Helens, WA9 2NB",7.2 mi,+447939492220,+447939492220,,True,new
c44,The Pear Tree,"1, Collins Green Lane, Warrington, WA5 4EQ",7.2 mi,+441925220788,+441925220788,,False,new
c45,Godfather,"110, Market Street, Chorley, PR7 2SL",7.3 mi,+44 1257 261818,+44 1257 261818,,False,new
c46,Seven Seas Fish & Chip Restaurant,"110A, Market Street, Chorley, PR7 2SL",7.3 mi,+44 1257 826166,+44 1257 826166,,False,new
c47,Chipmunk,"86, Higher Parr Street, St Helens, WA9 1AF",7.3 mi,+44 1744 25142,+44 1744 25142,,False,new
c48,Brother Kitchen,"28, Concourse Way, St Helens, WA9 3QL",7.3 mi,+44 1744 616888,+44 1744 616888,,False,new
c49,The Hope & Anchor,"747, Chorley Old Road, Bolton, BL1 5QH",7.3 mi,+44 1204 842650,+44 1204 842650,,False,new
c50,Pine Tree Farm,"A1, Cutacre Way, Bolton, BL5 1FN",7.4 mi,+44 1204 589140,+44 1204 589140,,False,new
c51,The King Balti,"230, St Helens Road, Bolton, BL3 4EB",7.4 mi,+44 1204 666171,+44 1204 666171,,False,new
c52,Shama Nazara,"284, St Helens Road, Bolton, BL3 3PZ",7.4 mi,+44 7466 953755,+447466953755,,True,new
c53,The Oddfellows,"140, St Helens Road, Bolton, BL3 3PJ",7.6 mi,+44 1204 654335,+44 1204 654335,,False,new
c54,The Lion Of Vienna,"158, Chorley New Road, Bolton, BL1 4PE",7.6 mi,+44 1204 843172,+44 1204 843172,,False,new
c55,Canal Duke,"Stour Road, Tydesley",7.6 mi,+44 161 204 3006,+44 161 204 3006,,False,new
c56,The Gatehouse,"Cherington Drive, Tyldesley, M29 8WE",7.7 mi,+44 1942 792102,+44 1942 792102,,False,new
c57,Super Snax,"Manchester Road, Manchester, M29 7DX",7.8 mi,+44 1942 871665,+44 1942 871665,,False,new
c58,Lee's Chinese Takeaway,"33, Harpers Lane, Chorley, PR6 7AB",8.0 mi,+44 1257 232375,+44 1257 232375,,False,new
c59,Woody's food to go,"3A, Clay Lane, Warrington, WA5 4HH",8.0 mi,+44 1925 228998,+44 1925 228998,,False,new
c60,The Horseshoe Inn,"Smithy Lane, Warrington, WA3 7HQ",8.1 mi,+44 1925 764464,+44 1925 764464,,False,new
c61,Junction Inn,"Junction Lane, St Helens, WA9 3JN",8.1 mi,+44 1744 378191,+44 1744 378191,,False,new
c62,Whistles tea room,"78, Walmesley Road, St Helens, WA10 5JW",8.3 mi,+44 1744 24777,+44 1744 24777,,False,new
c63,The Millstone,"12, Crown Street, Bolton, BL1 2RU",8.8 mi,+44 1204 391533,+44 1204 391533,,False,new
c64,Filling Station,"20, Runshaw Lane, Chorley, PR7 6AU",8.9 mi,+44 1257 277111,+44 1257 277111,,False,new
c65,The Poplars,"48, Cotswold Road, Warrington, WA2 9SF",8.9 mi,+44 7581 214200,+447581214200,,True,new
c66,The Noodle Shed,"215, Folds Road, Bolton, BL1 2TW",9.2 mi,+44 1204 370888,+44 1204 370888,,False,new
c67,Subway,"Prescot Road, St Helens, WA10 3BD",9.2 mi,+44 1744 739031,+44 1744 739031,,False,new
c68,Wok Inn,"Concord Place, Warrington, WA2 9NA",9.3 mi,+44 1925 816291,+44 1925 816291,,False,new
c69,Orford Fryer,"Unit 1, Howson Road, Warrington, WA2 9UB",9.3 mi,+44 1925 231635,+44 1925 231635,,False,new
c70,Kebab & Pizza,"Liverpool Road North, L40 5TN",9.5 mi,+44 1704 896989,+44 1704 896989,,False,new
c71,The Lever Bridge,"210, Radcliffe Road, Bolton, BL2 1PF",9.5 mi,+44 7715 952758,+447715952758,,True,new
c72,Long Lane Fish Bar,"133, Long Lane, Warrington, WA2 8QB",9.5 mi,+44 7543 765212,+447543765212,,True,new
c73,The Poacher,"40, Gorse Covert Road, Warrington, WA3 6UG",9.6 mi,+44 1925 810707,+44 1925 810707,,False,new
c74,The Royal,"142, Albert Road, Bolton, BL4 9HE",9.6 mi,+44 1204 574845,+44 1204 574845,,False,new
c75,The Volunteer,"276, Radcliffe Road, Bolton, BL3 1RS",9.6 mi,+44 1204 524271,+44 1204 524271,,False,new
c76,Orford Perk,"9, School Road, Warrington, WA2 9AB",9.7 mi,+44 1925 493610,+44 1925 493610,,False,new
c77,New Eastern Pearl,"89, Longshaw Street, Warrington, WA5 0DW",9.8 mi,+44 1925 41773,+44 1925 41773,,False,new
c78,Neighbours Chinese Takeaway,"10, Martin Avenue, Warrington, WA2 0HQ",9.8 mi,+44 1925 657887,+44 1925 657887,,False,new
c79,Cafe B,,9.8 mi,+44 161 790 8849,+44 161 790 8849,,False,new
c80,Tonge & Breightmet Conservative Club,"449, Bury Road, Bolton, BL2 6DF",9.8 mi,+44 1204 524705,+44 1204 524705,,False,new
c81,The Blackburne Arms,"66, Orford Green, Warrington, WA2 8PL",9.8 mi,+44 7871 885358,+447871885358,,True,new
c82,Roots & Roast,,9.9 mi,+44 7424418049,+447424418049,,True,new
c83,The Walkden Bar II,,9.9 mi,+44 161 790 2105,+44 161 790 2105,,False,new
c84,Black Horse,"70, Rainhill Road, L35 4PF",10.0 mi,+44 151 426 4195,+44 151 426 4195,,False,new
c85,The Station House,"24, Station Road South, Warrington, WA2 0QS",10.0 mi,+44 1925 939090,+44 1925 939090,,False,new
c86,Spice Grill Express,"609, Bury Road, Bolton, BL2 6HX",10.1 mi,+44 1204 533533,+44 1204 533533,,False,new
c87,Twin Chef,"339, Lovely Lane, Warrington, WA5 0AF",10.2 mi,+44 1925 633717,+44 1925 633717,,False,new
c88,Breightmet Conservative Club,"684, Bury Road, Bolton, BL2 6JD",10.2 mi,+44 1204 533515,+44 1204 533515,,False,new
c89,Leyland Cross Fish & Chips,"Church Road, Leyland",10.3 mi,+44 1772 623714,+44 1772 623714,,False,new
c90,Xpress Cafe,"118A, Orford Lane, Warrington, WA2 7AW",10.3 mi,+44 1925 445456,+44 1925 445456,,False,new
c91,Shawarma King,"117, Orford Lane, Warrington, WA2 7AR",10.3 mi,+44 1925 900 053,+44 1925 900 053,,False,new
c92,R'teapot,"4;4A, Bruche Heath Gardens, Warrington, WA1 3TP",10.3 mi,+44 1925 555460,+44 1925 555460,,False,new
c93,Wonderland,"Lancastergate, Leyland, PR25 2EX",10.4 mi,+44 1772 622299,+44 1772 622299,,False,new
c94,Spout House Farm Tearoom,"Blackburn Road, Chorley, PR6 8HS",10.4 mi,+44 7769684494,+447769684494,,True,new
c95,Lalkilla,"103, Orford Lane, Warrington, WA2 7AR",10.4 mi,+44 1925 573555,+44 1925 573555,,False,new
c96,Giulio's,"111, Towngate, Leyland, PR25 2LQ",10.5 mi,+44 1772 622420,+44 1772 622420,,False,new
c97,The Withins,"Breightmet Fold Lane, Bolton, BL2 6PP",10.5 mi,+44 1204 770510,+44 1204 770510,,False,new
c98,Seabreeze,"852, Bury Road, Bolton, BL2 6NY",10.5 mi,+44 1204 362288,+44 1204 362288,,False,new
c99,King Edward Street Chippy,"53, King Edward Street, Warrington, WA1 3SL",10.5 mi,+44 1925 493929,+44 1925 493929,,False,new
c100,Old Original Seven Stars,"2, Slater Lane, Leyland, PR25 1TL",10.6 mi,+44 1772 435712,+44 1772 435712,,False,new
c101,Traditions Sandwich Bar,"12A, Station Road, Warrington, WA5 1RQ",10.6 mi,+44 1925 727236,+44 1925 727236,,False,new
c102,You & Me,"63-65, Turpin Green Lane, Leyland, PR25 3HA",10.6 mi,+44 1772 422104,+44 1772 422104,,False,new
c103,Luigi's,"328, Leyland Lane, Leyland, PR25 1UQ",10.6 mi,+44 1772 434 111,+44 1772 434 111,,False,new
c104,Dragon Inn,"4, Lingley Road, Warrington, WA5 3ND",10.6 mi,+44 1925 726882,+44 1925 726882,,False,new
c105,Crispy Fried,"310, Leyland Lane, Leyland, PR25 1UL",10.7 mi,+44 1772 45 45 46,+44 1772 45 45 46,,False,new
c106,Leyland Chop Suey House,"68, Hough Lane, Leyland, PR25 2SA",10.7 mi,+44 1772 422 668,+44 1772 422 668,,False,new
c107,Isola bella,"Hough Lane, Leyland",10.7 mi,+44 1772 45 93 93,+44 1772 45 93 93,,False,new
c108,Henighans,"71, Lever Street, Bolton, BL3 1BA",10.7 mi,+44 1204 862664,+44 1204 862664,,False,new
c109,The Grapes,"47, Market Street, Manchester, M26 1HF",10.7 mi,+44 7809 484271,+447809484271,,True,new
c110,The Hare & Hounds,"13, Market Street, Manchester, M26 1GF",10.7 mi,+44 1204 572974,+44 1204 572974,,False,new
c111,Chapel House,"380, Liverpool Road, Warrington, WA5 1RU",10.7 mi,+44 1925 722138,+44 1925 722138,,False,new
c112,Timmy's,"15, Kingsway North, Warrington, WA1 3NU",10.7 mi,+44 1925 819872,+44 1925 819872,,False,new
c113,G & G's Cafe,"18, Lovely Lane, Warrington, WA5 1NE",10.7 mi,+44 7471 507702,+447471507702,,True,new
c114,Dunkirk Hall,"Dunkirk Lane, Leyland, PR26 7SW",10.8 mi,+44 1772 641377,+44 1772 641377,,False,new
c115,Original Bistro French,"21, Chapel Brow, Leyland, PR25 3NH",10.8 mi,+44 1772 621621,+44 1772 621621,,False,new
c116,Charcoal Grill,"17, Chapel Brow, Leyland, PR25 3NH",10.8 mi,+44 1772 623 131,+44 1772 623 131,,False,new
c117,Romero,"Chapel Brow, Leyland, PR25 3NH",10.8 mi,+44 1772 621103,+44 1772 621103,,False,new
c118,The Viceroy,"3, Golden Hill Lane, Leyland, PR25 3NP",10.8 mi,+44 1772 62 10 31,+44 1772 62 10 31,,False,new
c119,Yum Yum,"14, Chapel Brow, Leyland, PR25 3NE",10.8 mi,+44 1772 432 999,+44 1772 432 999,,False,new
c120,Beijing,"11, Chapel Brow, Leyland, PR25 3NH",10.8 mi,+44 1772 459 122,+44 1772 459 122,,False,new
c121,Kebab House,"16, Chapel Brow, Leyland, PR25 3NE",10.8 mi,+44 1772 432 757,+44 1772 432 757,,False,new
c122,Golden Hill Chinese Takeaway,"13, Golden Hill Lane, Leyland, PR25 3NP",10.8 mi,+44 1772 4356 88,+44 1772 4356 88,,False,new
c123,Fullfilled,"21, Golden Hill Lane, Leyland, PR25 3NP",10.8 mi,+44 1772 62 111 4,+44 1772 62 111 4,,False,new
c124,Grey Mare Inn,"154, Tottington Road, Bolton, BL2 4DA",10.8 mi,+44 1204 306979,+44 1204 306979,,False,new
c125,Lola's Desserts,"24, Town Hill, Warrington, WA1 2NG",10.8 mi,+44 7857 842808,+447857842808,,True,new
c126,East Orient Buffet,"54, Horsemarket Street, Warrington, WA1 1XL",10.8 mi,+44 1925 635550,+44 1925 635550,,False,new
c127,Happy House Fish & Chips,"63, School Lane, Leyland, PR25 2TU",10.9 mi,+44 1772 422127,+44 1772 422127,,False,new
c128,Manchester Road Supper Bar,"110, Manchester Road, Prescot, L34 5UD",10.9 mi,+44 430 8877,+44 430 8877,,False,new
c129,The Outset,"Sankey Street, Warrington, WA1 1NN",10.9 mi,+441925418064,+441925418064,,False,new
c130,Penketh Conservative Club,"Meeting Lane, Warrington, WA5 2BG",10.9 mi,+44 1925 722221,+44 1925 722221,,False,new
c131,Market Street Tavern,"131, Market Street, Manchester, M26 1HF",10.9 mi,+44 1204 572985,+44 1204 572985,,False,new
c132,The Hideaway Cafe,"1, Buttermarket Street, Warrington, WA1 2LY",10.9 mi,+44 1925 571477,+44 1925 571477,,False,new
c133,The Tavern Sports Bar,"25, Church Street, Warrington, WA1 2SS",10.9 mi,+447747668817,+447747668817,,True,new
c134,Thai Food Canteen,"10, Bold Street, Warrington, WA1 1DR",10.9 mi,+447934544240,+447934544240,,True,new
c135,Rope & Anchor,"188, Manchester Road, Warrington, WA1 4HJ",10.9 mi,+44 1925 814996,+44 1925 814996,,False,new
c136,Hong Kong House,"21, Preston Road, Leyland, PR25 4NT",11.0 mi,+44 1772 433 693,+44 1772 433 693,,False,new
c137,Lee's Asian Cuisine,"63, Bridge Street, Warrington, WA1 2HE",11.0 mi,+44 1925 242888,+44 1925 242888,,False,new
c138,Golden City,"13, Liverpool Road, Warrington, WA5 1EG",11.1 mi,+441925639467,+441925639467,,False,new
c139,Pizza Costa,"Clifton Parade, Leyland, PR25 4YU",11.1 mi,+44 1772 62 19 83,+44 1772 62 19 83,,False,new
c140,Sylhet Fusion,"Clifton Parade, Leyland, PR25 4YU",11.1 mi,+44 1772 6222 66,+44 1772 6222 66,,False,new
c141,Coach & Horses Inn,"84, Old Liverpool Road, Warrington, WA5 1BU",11.1 mi,+441925415382,+441925415382,,False,new
c142,CJ'S Coffee House & Tearoom,"195, Warrington Road, Warrington, WA5 2EN",11.2 mi,+44 7397 851761,+447397851761,,True,new
c143,Winton Fish Bar,,11.4 mi,+44 161 789 1615,+44 161 789 1615,,False,new
c144,Chester's 84,"84, Chester Road, Warrington, WA4 6AD",11.4 mi,+44 1925 963282,+44 1925 963282,,False,new
c145,Sparking Clog,"Radcliffe Moor Road, Radcliffe, M26 3WY",11.4 mi,+44 161 723 5690,+44 161 723 5690,,False,new
c146,Casalingo,"23-23A, Church Street, Bolton, BL2 5RA",11.7 mi,+44 1204 521828,+44 1204 521828,,False,new
c147,Shamnah,,11.8 mi,+44 161 747 8055,+44 161 747 8055,,False,new
c148,Kingfisher,,11.8 mi,+44 161 789 0935,+44 161 789 0935,,False,new
c149,Porky Pigs Cafe,"263, Peel Green Road, Salford, M30 7BX",11.8 mi,+44 7976 788128,+447976788128,,True,new
c150,Pomodoro,,12.0 mi,+44 161 749 7497,+44 161 749 7497,,False,new
c151,Popchop Curry House,"325, Liverpool Road, Manchester, M30 8GF",12.0 mi,+44 7362 256239,+447362256239,,True,new
c152,Rock Inn,"Tockholes Road, Darwen, BB3 0LU",12.1 mi,+44 1254 702733,+44 1254 702733,,False,new
c153,Gail's Snack Bar,,12.1 mi,+447774460535,+447774460535,,True,new
c154,Tavernaki Zorbas,"43, London Road, WA4 6SG",12.1 mi,+44 141 286 0162,+44 141 286 0162,,False,new
c155,Chiu's Fish and Chips,"323, Liverpool Road, Manchester, M30 8GF",12.1 mi,+44 161 789 6177,+44 161 789 6177,,False,new
c156,White Horse,"2, Bury Road, Bolton, BL7 0AY",12.1 mi,+44 1204 852929,+44 1204 852929,,False,new
c157,Amans,"33, Walton Road, Warrington, WA4 6NJ",12.3 mi,+44 1925 266 999,+44 1925 266 999,,False,new
c158,Heaths,"26, Walton Road, Warrington, WA4 6NL",12.3 mi,+44 1925 262626,+44 1925 262626,,False,new
c159,The Little Chippy,"194, Trafford Road, Salford, M30 0JP",12.5 mi,+44 7398993025,+447398993025,,True,new
c160,The Empire,"Bowfell Road, Manchester",12.7 mi,+44 161 748 1835,+44 161 748 1835,,False,new
c161,Mizan Tandoori,"Bowfell Road, Manchester",12.7 mi,+44 161 747 7997;+44 161 747 5892,+44 161 747 7997;+44 161 747 5892,,False,new
c162,Red Dragon,"Bowfell Road, Manchester",12.7 mi,+44 161 748 6812,+44 161 748 6812,,False,new
c163,The Lock Keeper,"4, Mill Bank, Radcliffe, M26 1AJ",12.7 mi,+44 161 723 3502,+44 161 723 3502,,False,new
c164,Yang Sing,"36, Finch Road, Liverpool, L14 4AT",12.8 mi,+44 151 228 5558,+44 151 228 5558,,False,new
c165,Pizza Perfect,"70, Baycliff Road, Liverpool, L12 6QX",12.8 mi,+44 151 228 5911,+44 151 228 5911,,False,new
c166,San Giovanni,"2, Lostock Road, Urmston, M41 0SU",12.8 mi,+44 161 747 1772,+44 161 747 1772,,False,new
c167,Feeling Peckish!,,12.9 mi,+44 161 747 9742,+44 161 747 9742,,False,new
c168,Prep Fresh,,12.9 mi,+44 151 489 4199,+44 151 489 4199,,False,new
c169,The Copper Kettle,,12.9 mi,+44 151 489 7805,+44 151 489 7805,,False,new
c170,San Marino,,12.9 mi,+44 161 707 77 38,+44 161 707 77 38,,False,new
c171,Greedy Munchkin,"143, Station Road, Preston, PR5 6LA",12.9 mi,+44 1772 627909,+44 1772 627909,,False,new
c172,Theru Kadai,,13.0 mi,+44 161 637 6478,+44 161 637 6478,,False,new
c173,Food 2 Go,"3, Alder Drive, Preston, PR5 0AD",13.0 mi,+44 1254 852002,+44 1254 852002,,False,new
c174,Regent Fish Bar & Dining Room,"9, Regent Street, Salford, M30 0BP",13.0 mi,+44 161 789 4087,+44 161 789 4087,,False,new
c175,Milano,,13.1 mi,+44 161 746 8309,+44 161 746 8309,,False,new
c176,Roscoes,,13.1 mi,+44 161 748 3470,+44 161 748 3470,,False,new
c177,Telepizza,,13.2 mi,+44 161 747 5557,+44 161 747 5557,,False,new
c178,Captain Cod,"189, Eccles Old Road, Salford, M6 8HA",13.2 mi,+44 161 787 8771,+44 161 787 8771,,False,new
c179,Charlies Chips,"2, Hilton Avenue, Urmston, M41 0TP",13.2 mi,+44 161 748 1131,+44 161 748 1131,,False,new
c180,Mulino,"1, Primrose Avenue, Urmston, M41 0TY",13.2 mi,+44 161 286 7819,+44 161 286 7819,,False,new
c181,The Hub,"Victoria Square, Widnes, WA8 7QZ",13.3 mi,+44 151 271 0383,+44 151 271 0383,,False,new
c182,The Western Approaches,"169, Lower House Lane, Liverpool, L11 2SF",13.3 mi,+44 7368 874691,+447368874691,,True,new
c183,Higher Walton Takeaway,"32, Church Terrace, Preston, PR5 4DY",13.5 mi,+44 1772 336333,+44 1772 336333,,False,new
c184,Urmston Take Away,"76, Railway Road, Manchester, M41 0XT",13.5 mi,+44 161 748 2288,+44 161 748 2288,,False,new
c185,The Goats Gate,"83, Radcliffe New Road, Whitefield, M45 7QZ",13.6 mi,+44 161 796 3478,+44 161 796 3478,,False,new
c186,Two Birds & One Stone,"14, Radcliffe New Road, Whitefield, M45 7GY",13.7 mi,+44 161 796 3255,+44 161 796 3255,,False,new
c187,Fair View,"44, Cann Bridge Street, Preston, PR5 4DJ",13.7 mi,+44 1772 337142,+44 1772 337142,,False,new
c188,Cann Bridge Ale House,"47, Cann Bridge Street, Preston, PR5 4DJ",13.7 mi,+44 1772 334802,+44 1772 334802,,False,new
c189,Lalveena,"43, Cann Bridge Street, Preston, PR5 4DJ",13.7 mi,+44 1772 698999,+44 1772 698999,,False,new
c190,Laurel's,"46, Cann Bridge Street, Preston, PR5 4DJ",13.7 mi,+44 1772 336138,+44 1772 336138,,False,new
c191,Porada,"231, Bury New Road, Whitefield, M45 8QP",13.8 mi,+44 161 637 6454,+44 161 637 6454,,False,new
c192,Butties2Go,,13.8 mi,+44 1772 490953,+44 1772 490953,,False,new
c193,Peppe's Pizzeria,,13.8 mi,+44 161 766 2557,+44 161 766 2557,,False,new
c194,Butty Boys,"East Prescot Road, Liverpool",13.8 mi,+44 7949 113201,+447949113201,,True,new
c195,The Thorn Inn,"Grappenhall Lane, Warrington, WA4 4QX",13.9 mi,+44 1925 502548,+44 1925 502548,,False,new
c196,Footballers Inn,"28, Higher Summerseat, Bury, BL0 9UG",13.9 mi,+44 1204 880008,+44 1204 880008,,False,new
c197,Spicey Chef,"398, Barton Road, Manchester, M32 9RW",14.1 mi,+44 161 866 9550,+44 161 866 9550,,False,new
c198,Wing Hing,,14.1 mi,+44 161 962 3364,+44 161 962 3364,,False,new
c199,Freddy's Kitchen,"22, Plymouth Road",14.1 mi,+44 161 611 0000,+44 161 611 0000,,False,new
c200,How How,"553, Liverpool Street, Salford, M6 5GY",14.3 mi,+44 1617371769,+44 1617371769,,False,new
c201,Craven’s Coffee House,"27, Green Lane",14.3 mi,+44 161 962 2222,+44 161 962 2222,,False,new
c202,Men Lee Chinese Takeaway,"375, Hale Road",14.4 mi,+44 151 424 9508,+44 151 424 9508,,False,new
c203,Othello's Greek Restaurant,"105, Gateacre Park Drive, Liverpool, L25 1PD",14.5 mi,+44151 280 7700,+44151 280 7700,,False,new
c204,The Rocket,"2, Bowring Park Road, Liverpool, L14 3PA",14.6 mi,+44 151 259 4694,+44 151 259 4694,,False,new
c205,Golden Star,"66, Fitzwarren Street, Salford, M6 5JE",14.6 mi,+44 161 736 5566,+44 161 736 5566,,False,new
c206,Chi Nar Garden,,14.7 mi,+44 151 425 5818,+44 151 425 5818,,False,new
c207,Turkish Grill,"59, Liverpool Road, Preston, PR1 9XD",14.7 mi,+441772369100,+441772369100,,False,new
c208,The Breakfast Lounge,"117, Broad Green Road, Liverpool, L13 5SE",14.7 mi,+44 151 228 2265,+44 151 228 2265,,False,new
c209,Evergreen,"135, Barton Road, Manchester, M32 8DN",14.8 mi,+44 161 865 1386,+44 161 865 1386,,False,new
c210,New Happy Fryer,"377, Prescot Road, Liverpool, L13 3BS",14.8 mi,+44 151 228 9179,+44 151 228 9179,,False,new
c211,Mei Mei,,14.9 mi,+44 161 865 2333,+44 161 865 2333,,False,new
c212,Yummy Takeaway,"89, London Road, Preston, PR1 4BA",14.9 mi,+44 1772 640379,+44 1772 640379,,False,new
c213,The Health Shack,"22, Miller Arcade, Lancaster Road, Preston, PR1 2QY",15.0 mi,+44 1772 561443,+44 1772 561443,,False,new
c214,CK's Café,,15.0 mi,+44 161 865 1960,+44 161 865 1960,,False,new
c215,Costa,"14-15, Fishergate, Preston, PR1 3NN",15.0 mi,+44 1772 825638,+44 1772 825638,,False,new
c216,Lavin Zeus,"149, Church Street, Preston, PR1 3BU",15.0 mi,+44 1772 555345;+44 1772 200500,+44 1772 555345;+44 1772 200500,,False,new
c217,Ragu,"5-7, Guildhall Street, Preston, PR1 3NU",15.0 mi,+44 7922 958745,+447922958745,,True,new
c218,Pizza King,"11, Church Street, Preston, PR1 3BQ",15.0 mi,+44 1772 562256,+44 1772 562256,,False,new
c219,Kingfisher,"10, King Street, Manchester, M32 8AE",15.0 mi,0161 0865 1243,0161 0865 1243,,False,new
c220,Aliz,"131a, Church Street, PR1 3BT",15.0 mi,+44 1772 882881,+44 1772 882881,,False,new
c221,Joe Jr,"Church Street, Preston, PR1 3BQ",15.0 mi,+44 1772 561969,+44 1772 561969,,False,new
c222,The Nile,"Church Street, Preston",15.0 mi,+44 1772 257000,+44 1772 257000,,False,new
c223,Dragon City,"392, Washway Road, M33 4JH",15.1 mi,+44 161 973 1300,+44 161 973 1300,,False,new
c224,Indian Curry Cottage,,15.1 mi,+44 161 973 8199,+44 161 973 8199,,False,new
c225,Turtley Wok,M32 0PA,15.1 mi,+44 161 865 4000,+44 161 865 4000,,False,new
c226,China Garden,,15.1 mi,+44 161 864 4200,+44 161 864 4200,,False,new
c227,Bonsai,,15.1 mi,+44 161 865 0303,+44 161 865 0303,,False,new
